year_month,平均单价,平均总价,成交量
2023-01,68456.0,530.0,994
2023-02,61190.0,469.0,1951
2023-03,58517.0,451.0,2245
2023-04,60002.0,477.0,1259
2023-05,59253.0,461.0,1142
2023-06,54647.0,426.0,1074
2023-07,59948.0,458.0,1239
2023-08,55750.0,425.0,1326
2023-09,59125.0,455.0,2075
2023-10,48300.0,402.0,1902
2023-11,48061.0,378.0,2176
2023-12,49165.0,396.0,2579
2024-01,49030.0,370.0,2720
2024-02,47079.0,363.0,1048
2024-03,44405.0,356.0,4395
2024-04,45391.0,357.0,3347
2024-05,47170.0,374.0,4444
2024-06,49076.0,377.0,4870
2024-07,44132.0,377.0,3455
2024-08,44611.0,372.0,3624
2024-09,49453.0,411.0,2311
2024-10,49397.0,379.0,2941
2024-11,41561.0,306.0,1002
2025-09,35756.0,340.0,20
2025-10,46122.0,353.0,7289
2025-11,30867.0,227.0,24025
